"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"3847","ENSMUSG00000056501","Cebpb","CEBPB","nucleus",1,1
"3848","ENSMUSG00000056515","Rab31","RAB31","early_endosome",1,1
"3849","ENSMUSG00000056536","Pign","PIGN","ER",1,2
"3850","ENSMUSG00000056665","Them6","THEM6","ER",1,1
"3851","ENSMUSG00000056666","Retsat","RETSAT","ER",1,1
"3852","ENSMUSG00000056737","Capg","CAPG","cytosol",1,2
"3853","ENSMUSG00000056758","Hmga2","HMGA2","nucleus",1,1
"3854","ENSMUSG00000056770","Setd3","SETD3","stress_granule",1,1
"3855","ENSMUSG00000056851","Pcbp2","PCBP2","unclassified",1,8
"3856","ENSMUSG00000056917","Sipa1","SIPA1","actin_cytoskeleton",1,1
"3857","ENSMUSG00000056941","Commd7","COMMD7","early_endosome",1,1
"3858","ENSMUSG00000056952","Tatdn2","TATDN2","nucleus",1,1
"3859","ENSMUSG00000056962","Jmjd6","JMJD6","cytosol",1,1
"3860","ENSMUSG00000056999","Ide","IDE","translation",1,2
"3861","ENSMUSG00000057069","Ero1b","ERO1B","ER",1,2
"3862","ENSMUSG00000057110","Cntrl","CNTRL","nucleus",1,1
"3863","ENSMUSG00000057113","Npm1","NPM1","nucleus",1,2
"3864","ENSMUSG00000057130","Txnl4a","TXNL4A","nucleolus",1,1
"3865","ENSMUSG00000057134","Ado","ADO","mitochondrion",1,1
"3866","ENSMUSG00000057147","Dph6","DPH6","cytosol",1,1
"3867","ENSMUSG00000057177","Gsk3a","GSK3A","plasma_membrane",1,1
"3868","ENSMUSG00000057193","Slc44a2","SLC44A2","unclassified",1,1
"3869","ENSMUSG00000057230","Aak1","AAK1","plasma_membrane",1,2
"3870","ENSMUSG00000057230","Aak1","AAK1","unclassified",1,2
"3871","ENSMUSG00000057236","Rbbp4","RBBP4","nucleus",1,1
"3872","ENSMUSG00000057322","Rpl38","RPL38","unclassified",1,1
"3873","ENSMUSG00000057335","Cep170","CEP170","14-3-3_scaffold",1,3
"3874","ENSMUSG00000057363","Uxs1","UXS1","Golgi",1,1
"3875","ENSMUSG00000057406","Nsd2","NSD2","nucleus",1,1
"3876","ENSMUSG00000057421","Las1l","LAS1L","nucleus",1,1
"3877","ENSMUSG00000057530","Ece1","ECE1","recycling_endosome",1,1
"3878","ENSMUSG00000057541","Pus7","PUS7","cytosol",1,1
"3879","ENSMUSG00000057572","Zbtb8os","ZBTB8OS","cytosol",1,1
"3880","ENSMUSG00000057649","Brd9","BRD9","nucleus",1,1
"3881","ENSMUSG00000057672","Pkn1","PKN1","unclassified",1,1
"3882","ENSMUSG00000057738","Sptan1","SPTAN1","actin_cytoskeleton",1,6
"3883","ENSMUSG00000057788","Ddx49","DDX49","nucleolus",1,1
"3884","ENSMUSG00000057789","Bak1","BAK1","mitochondrion",1,1
"3885","ENSMUSG00000057841","Rpl32","RPL32","translation",1,1
"3886","ENSMUSG00000057863","Rpl36","RPL36","translation",1,1
"3887","ENSMUSG00000058006","Mdn1","MDN1","nucleus",1,1
"3888","ENSMUSG00000058013","Septin11","SEPTIN11","actin_cytoskeleton",1,2
"3889","ENSMUSG00000058076","Sdhc","SDHC","mitochondrion",1,1
"3890","ENSMUSG00000058239","Usf2","USF2","nucleus",1,2
"3891","ENSMUSG00000058240","Cryzl1","CRYZL1","early_endosome",1,1
"3892","ENSMUSG00000058258","Idi1","IDI1","mitochondrion",1,2
"3893","ENSMUSG00000058290","Espl1","ESPL1","cytosol",1,1
"3894","ENSMUSG00000058301","Upf1","UPF1","stress_granule",1,1
"3895","ENSMUSG00000058318","Phf21a","PHF21A","nucleus",1,1
"3896","ENSMUSG00000058325","Dock1","DOCK1","plasma_membrane",1,1
"3897","ENSMUSG00000058355","Abce1","ABCE1","unclassified",1,2
"3898","ENSMUSG00000058392","Rrp1b","RRP1B","nucleolus",1,1
"3899","ENSMUSG00000058407","Txndc9","TXNDC9","cytosol",1,1
"3900","ENSMUSG00000058440","Nrf1","NRF1","nucleus",1,1
"3901","ENSMUSG00000058454","Dhcr7","DHCR7","ER",1,2
"3902","ENSMUSG00000058486","Wdr91","WDR91","early_endosome",1,1
